"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.491085090E-1,1.596754074E0,2.788844585E0,-2.513883591E0,4.080059853E0
8.538234570E-1,1.353780746E0,2.851920366E0,-3.072501421E0,4.405273779E0
8.585384050E-1,1.188646317E0,2.958437681E0,-3.652256489E0,4.848114174E0
8.632533530E-1,1.062761307E0,3.108216286E0,-4.276406288E0,5.392413265E0
8.679683010E-1,9.425134659E-1,3.391414642E0,-4.673112869E0,5.850470819E0
8.726832490E-1,9.656105042E-1,3.635608196E0,-5.099699020E0,6.336953582E0
8.773981970E-1,1.178490639E0,3.616819620E0,-5.721213341E0,6.870408026E0
8.821131450E-1,1.260659218E0,3.412421703E0,-6.257554531E0,7.238153926E0
8.868280930E-1,1.173895836E0,3.357192993E0,-8.435602188E0,9.154679705E0
8.915430410E-1,6.383819580E-1,2.871248722E0,-9.982147217E0,1.040648182E1
8.962579890E-1,-5.258750916E-2,2.443661213E0,-1.154659653E1,1.180246317E1
9.009729360E-1,-8.971939087E-1,2.441541910E0,-1.260667229E1,1.287222863E1
9.056878840E-1,-1.950356483E0,2.601502657E0,-1.256551456E1,1.297936296E1
9.104028320E-1,-2.557380199E0,2.456292152E0,-1.024291325E1,1.083931900E1
9.151177800E-1,-2.462809086E0,1.992741108E0,-6.474142551E0,7.207701956E0
9.198327280E-1,-1.908639431E0,1.368513346E0,-2.861140251E0,3.701601922E0
9.245476760E-1,-1.421954155E0,1.001749396E0,-6.484051347E-1,1.856309427E0
9.292625720E-1,-1.203459263E0,9.989701509E-1,2.669322491E-1,1.586665808E0
9.339775200E-1,-1.147882938E0,1.199939251E0,3.732380867E-1,1.701997684E0
9.386924680E-1,-1.278525352E0,1.384228230E0,8.242753148E-2,1.886136041E0
9.434074160E-1,-1.775033951E0,1.352955461E0,-3.605281115E-1,2.260799532E0
9.481223640E-1,-2.568190098E0,1.032801628E0,-8.516985178E-1,2.896147432E0
9.528373110E-1,-3.336771965E0,6.745443344E-1,-1.244601846E0,3.624650460E0
9.575522590E-1,-4.061236382E0,1.274518967E-1,-1.402533412E0,4.298486350E0
9.622672070E-1,-4.650631905E0,-5.297613144E-1,-1.289104700E0,4.854978382E0
9.669821550E-1,-5.171479702E0,-1.328129768E0,-1.034179688E0,5.438534602E0
9.716971030E-1,-5.428034306E0,-2.122617722E0,-5.528235435E-1,5.854457813E0
9.764120510E-1,-5.344756126E0,-2.707805157E0,6.331931800E-2,5.991880853E0
9.811269990E-1,-4.813571930E0,-3.028218269E0,7.417294979E-1,5.735045184E0
9.858419470E-1,-4.036860943E0,-3.134252071E0,1.561550021E0,5.343989220E0
9.905568950E-1,-3.054528713E0,-3.138685703E0,2.343095064E0,4.967050240E0
9.952718430E-1,-1.283055305E0,-2.935760260E0,4.258067131E0,5.328794884E0
